observation_date,DEXUSEU
2002-01-01,0.8770
2002-04-01,0.9186
2002-07-01,0.9842
2002-10-01,1.0003
2003-01-01,1.0733
2003-04-01,1.1356
2003-07-01,1.1264
2003-10-01,1.1920
2004-01-01,1.2499
2004-04-01,1.2047
2004-07-01,1.2227
2004-10-01,1.2991
2005-01-01,1.3112
2005-04-01,1.2591
2005-07-01,1.2196
2005-10-01,1.1890
2006-01-01,1.2033
2006-04-01,1.2576
2006-07-01,1.2741
2006-10-01,1.2898
2007-01-01,1.3109
2007-04-01,1.3484
2007-07-01,1.3748
2007-10-01,1.4482
2008-01-01,1.5007
2008-04-01,1.5625
2008-07-01,1.5030
2008-10-01,1.3202
2009-01-01,1.3035
2009-04-01,1.3619
2009-07-01,1.4304
2009-10-01,1.4762
2010-01-01,1.3821
2010-04-01,1.2740
2010-07-01,1.2938
2010-10-01,1.3586
2011-01-01,1.3699
2011-04-01,1.4399
2011-07-01,1.4123
2011-10-01,1.3476
2012-01-01,1.3121
2012-04-01,1.2836
2012-07-01,1.2508
2012-10-01,1.2977
2013-01-01,1.3196
2013-04-01,1.3064
2013-07-01,1.3252
2013-10-01,1.3619
2014-01-01,1.3705
2014-04-01,1.3716
2014-07-01,1.3250
2014-10-01,1.2497
2015-01-01,1.1246
2015-04-01,1.1069
2015-07-01,1.1119
2015-10-01,1.0954
2016-01-01,1.1035
2016-04-01,1.1295
2016-07-01,1.1163
2016-10-01,1.0780
2017-01-01,1.0661
2017-04-01,1.1008
2017-07-01,1.1755
2017-10-01,1.1778
2018-01-01,1.2289
2018-04-01,1.1922
2018-07-01,1.1629
2018-10-01,1.1414
2019-01-01,1.1354
2019-04-01,1.1237
2019-07-01,1.1120
2019-10-01,1.1075
2020-01-01,1.1022
2020-04-01,1.1016
2020-07-01,1.1698
2020-10-01,1.1925
2021-01-01,1.2045
2021-04-01,1.2050
2021-07-01,1.1784
2021-10-01,1.1437
2022-01-01,1.1216
2022-04-01,1.0646
2022-07-01,1.0066
2022-10-01,1.0218
2023-01-01,1.0730
2023-04-01,1.0888
2023-07-01,1.0884
2023-10-01,1.0761
